outcode,property_type,n_i,avg_price,sd,threshold
LS11,O,54,1680550.3333333333,3710133.853844561,142360.0
LS11,S,376,106951.38563829787,24450.225029153,93975.0
LS11,T,1137,70324.57343887423,22356.19360018239,57460.0
LS12,D,251,202504.3187250996,77663.40462561512,16e4
LS12,F,324,86748.61111111111,37929.89805326754,64919.99999999999
LS12,O,52,1427874.0576923077,2594604.8326458107,224400.0
LS12,S,865,127284.06820809249,36640.13225963362,11e4
LS12,T,1334,103017.53823088456,43534.371861777356,76e3
LS13,D,147,213054.51020408163,74335.2680629547,165800.0
LS13,F,208,91215.29807692308,29114.047068599946,77379.99999999999
LS13,O,12,323843.5,368797.0596137221,92e3
LS13,S,964,120587.10269709544,36684.99571001547,101e3
LS13,T,1119,114463.25915996425,44067.86033759984,89e3
LS14,D,453,362977.05298013246,308225.6343035843,22e4
LS14,F,276,96469.14855072464,48943.41691905459,87750.0
LS14,O,25,638050.36,879673.417268348,198400.0
LS14,S,955,133071.31413612564,62778.16154560329,102e3
LS14,T,599,121187.73121869782,70870.27172949826,89997.0
LS15,D,688,264890.67441860464,83667.31598848928,215e3
LS15,F,93,93650.63440860216,27600.115229668463,83100.0
LS15,O,33,1119530.0909090908,1945702.1807074137,144600.0
LS15,S,1526,160854.97903014417,45479.94769233935,139725.0
LS15,T,515,139338.27961165048,41361.251307889026,118600.0
LS16,D,833,401837.1668667467,173239.76810443157,291600.0
LS16,F,524,123168.65839694657,60645.98624295111,9e4
LS16,O,15,3365863.933333333,6107724.643559597,232400.0
LS16,S,1447,210373.62681409813,82382.64892455238,16e4
LS16,T,288,199133.9375,96773.34069428402,133100.0
LS17,D,974,426132.2289527721,226014.38495705728,298899.99999999994
LS17,F,746,146994.04825737266,89731.50225720393,1e5
LS17,O,11,937789.0909090909,964365.0119478054,37e4
LS17,S,1677,225349.42993440668,81479.70657131082,182500.0
LS17,T,212,243995.7783018868,108746.58999006452,178895.3
LS18,D,389,376504.0899742931,114142.81162391258,315e3
LS18,F,227,127365.00881057269,35971.003050391155,11e4
LS18,O,19,349267.1052631579,260042.28903581874,184999.99999999997
LS18,S,717,232932.20223152023,80950.34352223751,182500.0
LS18,T,604,184580.73178807946,60910.611775806945,15e4
LS19,D,283,312336.56183745584,133929.12476674397,230600.0
LS19,F,139,121990.30215827338,52706.03486534421,93700.0
LS19,O,19,570938.8947368421,768666.6708440947,121999.99999999997
LS19,S,756,192385.34656084655,66785.96645551831,156e3
LS19,T,656,177125.4375,69626.53170490473,14e4
LS2,D,2,531250.0,274003.87770978716,453750.0
LS2,F,663,102035.74660633484,51647.23057720727,65e3
