year,outcode,property_type,n_i,avg_price,sd,threshold
2012.0,B16,D,5,260370.8,91201.6911202857,202e3
2012.0,B16,F,83,136266.36144578314,99098.58376920875,91600.0
2012.0,B16,S,27,197457.40740740742,86823.0569160676,162e3
2012.0,B16,T,33,107076.18181818182,48076.38923984317,82700.0
2012.0,B17,D,49,408836.7346938776,164927.77420975012,279999.99999999994
2012.0,B17,F,63,133728.46031746033,51820.230783722276,107600.0
2012.0,B17,S,78,278592.2948717949,128013.06105086785,205200.0
2012.0,B17,T,132,216072.75,93904.2890528692,154300.0
2012.0,B18,D,5,205400.0,21663.33307688362,195800.0
2012.0,B18,F,49,134200.4081632653,48107.37829797975,112e3
2012.0,B18,O,1,42e3,NA,42e3
2012.0,B18,S,3,91666.66666666667,24131.58373031769,84800.0
2012.0,B18,T,46,93554.34782608696,42010.51168204737,75500.0
2012.0,B19,D,8,128321.25,10592.440279342081,127500.0
2012.0,B19,F,2,63500.0,19091.883092036784,58100.0
2012.0,B19,S,9,115547.22222222222,28330.2125732308,109995.0
2012.0,B19,T,28,87096.25,25134.34320933839,72850.0
2012.0,B2,F,12,114541.66666666667,32546.092024398353,97650.0
2012.0,B20,D,31,211854.8064516129,70354.93834475745,17e4
2012.0,B20,F,8,63681.25,10415.233949090425,6e4
2012.0,B20,S,57,165885.0,48019.212802942595,144e3
2012.0,B20,T,54,107683.33333333333,32481.399612004363,86800.0
2012.0,B21,D,1,215500.0,NA,215500.0
2012.0,B21,S,27,107453.70370370371,28210.578096242843,95e3
2012.0,B21,T,95,89562.0,25316.221550954662,77200.0
2012.0,B23,D,22,164688.63636363635,41164.23821201794,147700.0
2012.0,B23,F,73,76099.86301369863,30929.079796597685,63e3
2012.0,B23,S,130,120069.19230769231,29032.480826605697,103e3
