outcode,property_type,n_i,avg_price,sd,threshold
DY2,O,37,570060.972972973,849092.1084097704,163e3
DY2,S,657,110761.4901065449,29921.410370625184,92990.0
DY2,T,678,102111.7168141593,32997.14326137287,82e3
DY3,D,613,240226.55791190863,92253.1707811807,19e4
DY3,F,143,89450.44755244756,40349.71189901481,65e3
DY3,O,25,770034.68,1834586.6431358757,161e3
DY3,S,860,139754.66627906976,38829.514052813924,116e3
DY3,T,519,126520.35452793834,46554.32710681442,105400.0
DY4,D,331,175593.74320241692,42681.53200692424,154e3
DY4,F,273,55430.619047619046,30108.144622904838,44e3
DY4,O,28,558416.4285714285,1278629.127824056,59599.99999999999
DY4,S,793,117077.68852459016,33782.27829951886,96800.0
DY4,T,664,102149.6204819277,30186.4458660118,84e3
DY5,D,533,190718.78799249532,51760.008046336756,16e4
DY5,F,346,87946.42485549134,26002.675542745455,79950.0
DY5,O,66,744639.6818181818,1757672.38486557,121500.0
DY5,S,1078,119513.2625231911,32949.63567037294,1e5
DY5,T,510,109059.27647058823,33558.77794349698,86850.0
DY6,D,676,245890.1701183432,70023.67265053143,205e3
DY6,F,91,90138.96703296703,25084.211780609265,76e3
DY6,O,25,374495.6,736903.3549515951,118e3
DY6,S,846,158809.37588652482,40544.51234224403,137725.0
DY6,T,377,146324.71883289126,33696.852985763224,126900.0
DY7,D,303,384063.68316831684,210788.67555463722,29e4
DY7,F,93,175666.35483870967,54326.64222825328,137699.0
DY7,O,6,465046.6666666667,213203.4077276127,33e4
DY7,S,139,225260.0071942446,73104.56500204095,181600.0
DY7,T,83,233297.53012048194,104147.2961675349,176e3
DY8,D,1027,280894.51217137295,124225.53940285559,215e3
DY8,F,451,111015.31485587583,34661.617686147394,92500.0
DY8,O,43,447862.9534883721,701156.047439477,142500.4
DY8,S,1593,165997.06403013182,54403.95107541825,134770.0
DY8,T,1043,147249.9376797699,47065.474724547035,123500.0
DY9,D,778,388363.36246786633,208480.78876818018,279955.0
DY9,F,194,163683.412371134,74079.1556639308,125e3
DY9,O,26,727939.6923076923,1078026.1884141322,125e3
DY9,S,666,194463.20720720722,89416.65528501953,13e4
DY9,T,366,157918.40983606558,83169.83866638929,102250.0
E1,D,5,1356e3,1344764.8493324027,652e3
E1,F,4465,459454.0414333707,288342.8305393092,318250.0
E1,O,162,6186458.530864198,13707902.807541575,15e4
E1,S,6,635e3,154272.48620541513,55e4
E1,T,248,767755.7379032258,591139.9152727207,480200.0
E10,D,14,429571.0714285714,141389.59386932605,390800.0
E10,F,1353,265646.86770140426,94666.47485333076,205e3
E10,O,64,1075585.296875,2293511.311343081,209e3
E10,S,62,407057.29032258067,137847.49445678253,311500.0
E10,T,1008,387265.2073412698,126544.80707512217,3e5
E11,D,81,954205.4938271604,471168.6029077363,63e4
E11,F,1634,270771.4963280294,94959.21886351996,216e3
E11,O,46,690899.0869565217,1035063.6442609879,34999.5
E11,S,312,643926.0416666666,222427.41969846826,510800.0
E11,T,1408,447053.26136363635,160411.8191366048,35e4
E12,D,14,620928.5,310722.9374848151,399400.0
E12,F,481,187934.34927234927,63174.11305948625,15e4
E12,O,20,915121.75,1278617.6219728321,212600.0
E12,S,46,499014.3695652174,227459.14028691038,335e3
E12,T,831,320633.6871239471,132215.66747710062,245e3
E13,D,8,48e4,164902.56863632277,381e3
E13,F,593,195824.47386172006,67106.62855551284,155e3
E13,O,26,2152054.576923077,7748847.101631303,247750.0
E13,S,39,315031.7948717949,124874.72386823261,245e3
E13,T,1063,282620.54280338663,83185.15479926222,235e3
E14,D,7,776151.8571428572,227147.65848997032,672212.6
E14,F,9096,425281.4726253298,206085.96380932178,315e3
E14,O,121,3605743.0495867766,9000618.111116767,293e3
E14,S,31,552369.3548387097,177301.08322540848,495e3
E14,T,507,547467.7909270216,271459.9033413854,409999.8
E15,D,4,486375.0,84487.79497655267,477625.0
E15,F,1763,263673.37209302327,95755.00992142477,215e3
E15,O,45,3381643.777777778,6260252.9862646125,404e3
E15,S,48,340231.25,120789.62894706737,251950.0
E15,T,1058,355527.0198487713,107743.45753413609,285e3
E16,D,14,340285.71428571426,61792.99010707952,318900.0
E16,F,2991,318412.24607154797,127249.06004737096,243e3
E16,O,49,3306310.897959184,12019722.148745842,244790.8
E16,S,54,305213.8888888889,71905.76801112996,25e4
E16,T,639,318773.85133020347,134229.41281849134,249996.59999999998
E17,D,66,475290.1515151515,162089.9140837239,389e3
E17,F,2861,268298.3694512408,87190.41704081079,215e3
E17,O,96,1187254.8125,2744890.641957059,15e4
E17,S,279,452312.788530466,171435.58566798674,35e4
E17,T,3256,402983.9680589681,143005.2707176555,315e3
E18,D,64,791907.734375,424154.13234911766,564500.0
E18,F,959,276283.9019812305,85272.73346769775,225e3
E18,O,22,1626872.9545454546,4555178.769094218,193499.99999999997
E18,S,278,616728.3956834532,190262.2973527629,494550.0
E18,T,408,497869.48039215687,145992.34318985193,405305.0
E1W,D,7,85e4,282562.6774127586,668e3
E1W,F,1356,580685.4100294985,430929.17709309096,359125.0
E1W,O,17,1477906.0,3990941.852379116,15850.0
E1W,T,92,806557.554347826,605117.232899931,560150.0
E2,D,2,462500.0,88388.34764831843,437500.0
E2,F,2525,420081.35643564357,169736.8420261609,325e3
E2,O,88,1889131.2045454546,5442875.794940392,226497.69999999987
E2,S,3,470833.3333333333,139560.32148620658,449500.0
E2,T,223,747325.6412556054,345392.28821612103,6e5
E20,F,31,521419.1935483871,110779.6254740071,545e3
E20,O,3,166666.66666666666,90737.71725877466,118e3
E20,T,13,728235.0,18237.952873061164,715e3
E3,D,7,569285.7142857143,183585.32465469954,499e3
E3,F,4400,332440.30863636365,109151.98425999959,265e3
E3,O,67,2131306.029850746,3241313.6373894773,322e3
E3,S,19,665078.8947368421,265863.73512026685,499999.4
E3,T,471,652077.847133758,254725.63274415178,499995.0
E4,D,160,572198.5875,317417.17631898826,391750.0
E4,F,1360,226608.30955882353,67774.94907037038,187350.0
E4,O,41,1209617.8536585367,3026562.839559733,245e3
E4,S,1048,415064.3578244275,136488.1323786743,33e4
E4,T,1747,352221.14024041215,100596.77879955634,285e3
E5,D,7,891642.8571428572,560854.7579577172,708e3
E5,F,1717,352496.23587652884,142092.29203371584,255899.99999999997
E5,O,36,1372474.75,2268683.711499869,102500.0
E5,S,21,662477.8571428572,259038.93510441357,499999.0
E5,T,575,702014.76,252478.87076138254,548e3
E6,D,32,350578.125,101710.61965797709,3e5
E6,F,825,179887.2703030303,51467.41916040118,15e4
E6,O,50,1980019.9,6730648.506653654,282900.0
E6,S,93,286354.24731182796,71293.54099405344,24e4
E6,T,1845,275125.620596206,68033.27731513289,235e3
E7,D,15,569233.2666666667,470863.4600240084,332500.0
E7,F,615,213991.81951219513,79033.97667223243,160200.0
E7,O,30,670802.7,1188509.3299791084,23499.999999999996
E7,S,63,444753.8095238095,199732.059698847,297600.0
E7,T,1106,354302.77305605786,137871.7560859792,261500.0
E8,D,13,1210581.1538461538,830402.7144207248,946e3
E8,F,2190,425249.6378995434,160893.31851019306,339998.5
E8,O,106,1858858.0377358492,3312592.2825027592,275e3
E8,S,47,1137224.0425531915,555748.8337964237,766e3
E8,T,339,850420.2035398231,364361.33593765815,615400.0
E9,D,13,797e3,551157.834320926,459700.0
E9,F,1538,365492.644343303,158240.9259225109,274e3
E9,O,39,1698590.2051282052,2486820.775792872,272e3
E9,S,27,733516.6666666666,367089.3621554462,599e3
E9,T,355,730447.2112676057,625517.754976228,497599.0
EC1A,F,118,671053.3050847457,497079.45759110636,493245.0
EC1A,O,18,6218027.666666667,17000058.478176627,85100.0
