outcode,property_type,n_i,avg_price,sd,threshold
OX33,S,53,375514.8301886792,91484.7503107098,326700.0
OX33,T,39,319073.07692307694,77683.8082144822,289e3
OX39,D,95,577005.347368421,314005.8264662633,4e5
OX39,F,27,189485.59259259258,50706.12150744361,174600.0
OX39,O,5,1984e3,2292330.6916760504,896000.0000000001
OX39,S,80,368835.875,106610.44097932887,315e3
OX39,T,71,306428.1690140845,57823.62019377448,28e4
OX4,D,62,566590.3225806452,337484.44904533785,411100.0
OX4,F,423,237038.74704491725,73229.38756876583,192500.0
OX4,O,33,1400799.9696969697,5142553.332569888,192800.0
OX4,S,337,369013.08605341247,129116.7234647831,3e5
OX4,T,656,376006.22865853657,147288.83167675987,28e4
OX44,D,99,572257.0707070708,255193.5971793409,410800.0
OX44,F,3,235e3,55677.64362830022,209e3
OX44,O,3,811720.0,649052.1051502723,444864.0
OX44,S,66,362768.1818181818,118205.7123559028,307500.0
OX44,T,41,332076.8292682927,164938.6249857659,266500.0
OX49,D,42,691494.0476190476,288354.2795113079,537400.0
OX49,F,6,160040.83333333334,43565.54262449472,134497.5
OX49,O,5,614e4,7860430.172706835,372000.00000000006
OX49,S,37,396125.5135135135,108251.64377007596,321200.0
OX49,T,44,377588.9090909091,257405.5270079182,285126.0
OX5,D,189,573482.2698412698,343114.71954127756,413500.0
OX5,F,163,218234.96319018406,72292.18736077948,18e4
OX5,O,21,1274393.9523809524,1730685.8111582086,375673.0
OX5,S,284,358333.07042253524,79985.49681571787,315e3
OX5,T,158,305856.7088607595,77528.49254292509,271600.0
OX7,D,265,547311.9283018868,329094.0923934312,381800.0
OX7,F,113,208029.81415929203,116861.30910709535,140700.0
OX7,O,35,1121193.3142857142,1399480.5644989011,376e3
OX7,S,198,342203.4747474748,127960.5844226798,260350.0
OX7,T,267,304891.0411985019,143157.99373028998,235e3
OX8,D,1,395e3,NA,395e3
OX8,O,1,1749996.0,NA,1749996.0
OX9,D,190,616854.4736842106,248110.0358455653,455e3
OX9,F,159,233466.94339622642,74166.59152233625,184950.0
OX9,O,20,644844.75,716082.24225499,226499.9
OX9,S,135,391301.63703703706,105922.01894083028,338400.0
OX9,T,183,330036.61202185793,132962.65276879698,272300.0
PE1,D,181,211622.14364640883,97051.98127201576,168e3
PE1,F,333,110302.18318318318,32228.313764762166,98e3
PE1,O,97,1484054.7525773195,5619890.298202517,189599.99999999997
PE1,S,405,151301.7037037037,44236.62522764143,13e4
PE1,T,473,124973.50951374207,30470.608903283806,109980.0
PE10,D,559,251822.60465116278,116322.72045780833,195e3
PE10,F,78,118210.70512820513,37375.74095798871,97520.0
PE10,O,14,475235.71428571426,861880.632112701,174500.0
PE10,S,304,162771.7927631579,46347.1681982105,14e4
PE10,T,273,145015.03663003663,30264.29400674322,133650.0
PE11,D,862,206681.8897911833,65805.24898985018,169e3
PE11,F,87,99827.70114942528,50753.2442058759,84760.0
PE11,O,47,463243.78723404254,764747.7078478076,141280.0
PE11,S,482,138734.47717842323,28864.444684136823,125e3
PE11,T,353,130603.96883852691,32208.276826325036,119169.99999999999
PE12,D,1033,201267.65440464666,68312.92926586707,161e3
PE12,F,25,86068.56,27015.22987452325,66400.0
PE12,O,32,268086.03125,444031.99021862727,115e3
PE12,S,396,134001.9393939394,30338.763499771256,12e4
PE12,T,179,112799.35195530727,31284.76029602794,96500.0
PE13,D,648,206357.31327160494,81301.76285452921,16e4
PE13,F,34,77279.11764705883,35839.442561753865,58900.0
PE13,O,47,201628.29787234042,317076.12270124845,99986.0
PE13,S,379,132657.65699208443,30135.48234819254,12e4
PE13,T,325,110177.98461538462,36399.339856520775,95e3
PE14,D,513,218730.4269005848,97827.82901989148,165e3
PE14,F,6,74082.5,5867.86481609793,71250.0
PE14,O,30,616208.4,878633.4707863345,161499.99999999997
