outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
AL9,T,2015,47,337259.57446808513,327500,93536.50916963426,296e3,288400,274500,259e3,211900,FALSE
AL9,T,2016,48,442785.7291666667,378500,141083.3229321006,345e3,334e3,327575,300650,284725,FALSE
B1,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B1,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B1,F,2015,312,176687.8044871795,15e4,127281.88445044908,12e4,11e4,105975,99950,91662.5,FALSE
B1,F,2016,335,175745.17313432836,159795,74833.96541241938,135e3,13e4,123200,115e3,101400,FALSE
B1,O,2015,25,1183668.44,53e4,2188988.9611213417,25e4,233600.00000000003,206400,161400,109000.00000000001,FALSE
B1,O,2016,34,2175895.6470588236,401500,4960501.824767022,160250,158400,12e4,116500,59500.00000000001,FALSE
B1,S,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B1,S,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B1,T,2015,19,278821.05263157893,32e4,156266.54429370695,122250,118800,110400,93500,87500,FALSE
B1,T,2016,12,264091.6666666667,160800,159849.3350760097,136625,135800,133575,130550,121900,FALSE
B10,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B10,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B10,F,2015,9,56883.333333333336,6e4,16898.890496124295,5e4,48600,47200,41200,30600,FALSE
B10,F,2016,6,63500,65e3,13924.798023669859,6e4,59e3,54250,49500,44750,FALSE
B10,O,2015,3,2118292.6666666665,2329878,1871492.0558103723,1239939,1021951.1999999998,803963.4000000001,585975.5999999999,367987.8000000002,FALSE
B10,O,2016,9,365177.77777777775,22e4,564118.1365143692,56100,41660.00000000001,27220.000000000007,18500,15500,FALSE
B10,S,2015,8,114250,118750,21682.77789266996,107500,104e3,100500,91600,81800,FALSE
B10,S,2016,19,129584.21052631579,12e4,33003.08509413922,11e4,108200,105350,104e3,98e3,FALSE
B10,T,2015,89,109337.12359550562,1e5,38986.164993559,86e3,81900,78400,69e3,54600,FALSE
B10,T,2016,106,118137.97169811321,115e3,36633.10477058319,95250,90500,86375,8e4,71250,FALSE
B11,D,2015,1,38e4,38e4,NA,38e4,38e4,38e4,38e4,38e4,FALSE
B11,D,2016,2,245e3,245e3,42426.40687119285,23e4,227e3,224e3,221e3,218e3,FALSE
B11,F,2015,4,49e3,50500,5597.6185412488885,47750,46400,45050,43700,42350,FALSE
B11,F,2016,11,113768.18181818182,87500,80511.96269104136,67750,67500,63500,59500,43750,FALSE
B11,O,2015,17,1235154.294117647,3e5,2573515.1246256493,225e3,221e3,124600,61e3,58e3,FALSE
B11,O,2016,16,679e3,492e3,912793.4414020878,251250,225e3,156e3,106500,65e3,FALSE
B11,S,2015,29,153468.9655172414,132e3,72543.7016240569,11e4,104800,90400,79720,76440,FALSE
B11,S,2016,32,167093.75,157e3,55276.34935835666,139e3,135200,129300,120800,117550,FALSE
B11,T,2015,224,111168.44642857143,105e3,33884.16613190468,9e4,87127.2,85e3,8e4,72300,FALSE
B11,T,2016,238,123314.86134453781,115e3,40152.09563627922,1e5,96400,92275,9e4,85e3,FALSE
B12,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B12,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B12,F,2015,27,111029.62962962964,116e3,36392.09619192284,100375,80050,75e3,64600,46900,FALSE
B12,F,2016,46,120430.10869565218,12e4,34803.067688689145,105098.75,96e3,86500,78500,57875,FALSE
B12,O,2015,6,1014140.1666666666,577500,971453.4184790163,320500,309e3,269250,229500,189750,FALSE
B12,O,2016,15,259823,242e3,165243.61779117005,112650,105300,105300,91320,73223.5,FALSE
B12,S,2015,8,129868.75,127500,24469.70338865127,124987.5,124970,124952.5,112665.00000000001,98332.5,FALSE
B12,S,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B12,T,2015,70,133948.35714285713,123866.5,55583.54627255191,96250,92e3,9e4,84350,78075,FALSE
B12,T,2016,48,134116.66666666666,12e4,50507.93526588367,102812.5,92800,90050,88500,78775,FALSE
B13,D,2015,65,416480.8153846154,385e3,151506.2383033794,3e5,287400,268122.4,257e3,206600,FALSE
B13,D,2016,60,433811.7166666667,414975,159112.05618129758,308750,289600,273500,257500,209575,FALSE
B13,F,2015,172,122557.41279069768,112500,47340.609841836944,87750,82200,78e3,74095,66275,FALSE
B13,F,2016,178,127824.50561797753,122500,56720.33176805738,94962.5,89380,81550,74665,66020,FALSE
B13,O,2015,4,550500,56e4,205453.15767833797,449250,418800,388350,357900,327450,FALSE
B13,O,2016,21,623243.4761904762,37e4,623587.0208750034,295e3,264813,195e3,7e4,7e4,FALSE
B13,S,2015,85,279900.5882352941,249e3,132171.57331028683,18e4,157400,142600,128780,12e4,FALSE
B13,S,2016,104,289386.7403846154,265e3,131819.75611233118,192875,182800,166150,155e3,135150,FALSE
B13,T,2015,175,191417.88571428572,165e3,97711.27824401243,124725,120800,115100,105e3,1e5,FALSE
B13,T,2016,130,198110.53076923077,171e3,91855.96293575957,137125,129990,12e4,11e4,104350,FALSE
B14,D,2015,43,264638.37209302327,265e3,91495.09213822379,197500,188400,176150,166600,141500,FALSE
B14,D,2016,38,281029.5,260500,119575.76758618078,195e3,185300,173275,172100,149387.5,FALSE
B14,F,2015,41,84425.60975609756,84e3,27606.555204224638,62e3,58950,58e3,5e4,49950,FALSE
B14,F,2016,56,94033.92857142857,98250,29819.27093057724,73125,64950,59875,48350,41650,FALSE
B14,O,2015,10,342567.9,252464.5,328207.750337919,133750,112e3,93999.99999999999,74950,52225,FALSE
B14,O,2016,17,368570.5882352941,2e5,388929.8884675519,17e4,165200,164e3,163100,161750,FALSE
B14,S,2015,208,175741.79326923078,153250,72730.3100674857,132e3,126200,124045,12e4,112175,FALSE
B14,S,2016,214,198780.57476635513,17e4,82130.97430793926,147500,142800,136950,129300,120650,FALSE
B14,T,2015,266,167035.007518797,150125,64501.78663577847,122625,116e3,111500,1e5,84250,FALSE
B14,T,2016,263,174005.30798479088,16e4,65760.55600689581,13e4,125e3,117300,105e3,92550,FALSE
B15,D,2015,48,724241.9166666666,598750,377895.67516253225,446250,432e3,387400,340200,289625,FALSE
B15,D,2016,53,636601.9433962264,537500,410479.54152591294,39e4,375400,336300,273800,25182.000000000004,FALSE
B15,F,2015,182,155911.17032967033,138500,99203.57132338216,12e4,115100,109e3,101100,92150.00000000001,FALSE
B15,F,2016,182,165167.82967032967,154e3,71795.22988385649,13e4,127e3,121150,11e4,1e5,FALSE
B15,O,2015,6,785593,484429,764931.8278055895,222472,199700,177275,154850,132425,FALSE
B15,O,2016,10,3925030.9,85e4,7864512.612057002,273750,218615,215498.75,192490.89999999997,99862.44999999998,FALSE
B15,S,2015,14,518674.5714285714,33e4,507552.65700928686,282500,278417.6,273741.8,243813.19999999998,223e3,FALSE
B15,S,2016,18,507562.6111111111,47e4,223154.5748323448,323031.75,304200,274750,249100,236200,FALSE
B15,T,2015,29,264472.2413793103,245e3,123033.98088671484,23e4,213100,179596,174600,152e3,FALSE
B15,T,2016,34,309248.5294117647,255e3,187588.36725147662,198125,184e3,175e3,174300,157750,FALSE
B16,D,2015,16,296114.0625,265e3,97978.27565705148,230750,215e3,2e5,192500,188750,FALSE
B16,D,2016,17,343002.9411764706,324950,141789.37115333724,24e4,216e3,204e3,193600,175120,FALSE
B16,F,2015,256,152467.3984375,128e3,74560.7490346054,105750,96500,9e4,84250,75e3,FALSE
