year,outcode,property_type,n_i,avg_price,sd
2015.0,SO51,F,143,189148.04195804195,71118.98147895445
2015.0,SO51,O,13,771076.7692307692,596454.6928440519
2015.0,SO51,S,112,300000.1875,84303.52439743781
2015.0,SO51,T,159,271673.72955974843,88434.91033449084
2015.0,SO52,D,77,383128.3116883117,70880.65628877803
2015.0,SO52,F,8,140962.5,33381.300903350064
2015.0,SO52,S,56,269866.4285714286,55397.896831708546
2015.0,SO52,T,37,216320.27027027027,40987.63780339997
2015.0,SO53,D,274,434443.602189781,147182.55018982253
2015.0,SO53,F,92,164652.1739130435,40040.131594180755
2015.0,SO53,O,4,1572629.25,2923043.9426202467
2015.0,SO53,S,93,270152.82795698923,55348.210125929036
2015.0,SO53,T,109,238858.16513761468,49481.6294786395
2015.0,SP1,D,124,405318.79032258067,121974.03107487618
2015.0,SP1,F,86,181185.89534883722,60625.082421295876
2015.0,SP1,O,14,822462.4285714285,581624.0871442804
2015.0,SP1,S,115,282836.62608695653,113049.31698176323
2015.0,SP1,T,138,259871.4347826087,125197.05433353849
2015.0,SP10,D,154,339220.45454545453,93157.81055344903
2015.0,SP10,F,117,133214.44444444444,27968.26243769042
2015.0,SP10,O,11,1333681.8181818181,2263610.526048234
2015.0,SP10,S,147,233344.3605442177,53167.936191618035
2015.0,SP10,T,247,188189.27125506074,39019.575948366604
2015.0,SP11,D,282,431998.1134751773,262222.0579463463
2015.0,SP11,F,92,137757.98913043478,57857.2994335817
2015.0,SP11,O,6,432366.6666666667,323134.5643329829
2015.0,SP11,S,207,250092.7004830918,64710.28835612738
2015.0,SP11,T,194,227168.3969072165,87901.50070858246
2015.0,SP2,D,132,384769.9772727273,136500.49208447867
2015.0,SP2,F,107,170188.03738317758,96881.06115367824
2015.0,SP2,O,12,275183.3333333333,303751.51876412926
2015.0,SP2,S,122,247806.55737704918,73481.45432828038
2015.0,SP2,T,240,212416.7375,71678.02442199139
2015.0,SP3,D,100,484098.0,236375.92362312807
2015.0,SP3,F,7,177500.0,41091.36162260871
2015.0,SP3,O,4,72e3,24e3
2015.0,SP3,S,49,293601.20408163266,227525.80136702623
2015.0,SP3,T,50,236818.76,106918.36697630586
2015.0,SP4,D,210,363696.1095238095,246364.35003829538
2015.0,SP4,F,74,186251.14864864864,82804.42721730415
2015.0,SP4,O,12,521833.3333333333,685831.5236177752
2015.0,SP4,S,150,222701.56666666668,57915.788466851925
2015.0,SP4,T,128,200410.8203125,49505.87749158227
2015.0,SP5,D,233,493840.3605150215,279984.65760818543
2015.0,SP5,F,15,185163.33333333334,110340.33465773497
2015.0,SP5,O,7,7541257.857142857,18627070.348185875
2015.0,SP5,S,55,279317.5272727273,83955.33139929223
2015.0,SP5,T,47,258402.1489361702,106606.21647425443
2015.0,SP6,D,145,451023.4482758621,223427.84738708558
2015.0,SP6,F,25,143940.0,48645.721805725116
2015.0,SP6,O,7,864571.4285714285,1265481.0820583685
2015.0,SP6,S,46,256844.02173913043,72176.53647380894
2015.0,SP6,T,36,221455.55555555556,52329.30997576486
2015.0,SP7,D,117,352360.47008547006,173629.10063922394
2015.0,SP7,F,38,131366.84210526315,82000.63921488704
2015.0,SP7,O,9,366459.77777777775,606711.79077091
2015.0,SP7,S,94,239662.1489361702,89890.51499953044
2015.0,SP7,T,114,189472.5,65974.30995474242
2015.0,SP8,D,138,302158.6956521739,135842.20691415525
2015.0,SP8,F,37,104804.05405405405,34910.477530985474
2015.0,SP8,O,5,317600.0,247988.50779824457
2015.0,SP8,S,78,198011.53846153847,61166.325789517636
2015.0,SP8,T,77,168627.27272727274,60793.894444052865
2015.0,SP9,D,45,271221.55555555556,105015.83657532878
2015.0,SP9,F,17,125260.58823529411,34092.33619352527
2015.0,SP9,O,2,840809.5,835530.8076788671
2015.0,SP9,S,40,201873.25,31398.57747369767
2015.0,SP9,T,77,182196.94805194804,25252.819477236542
2015.0,SR1,F,39,66766.7435897436,17928.303312621796
2015.0,SR1,O,8,245413.75,229115.53123993392
2015.0,SR1,T,13,109803.84615384616,86928.49183269944
2015.0,SR2,D,59,233733.30508474575,83227.51446160724
2015.0,SR2,F,67,95593.59701492537,39485.81317617287
2015.0,SR2,O,6,207251.66666666666,222961.15187778042
2015.0,SR2,S,146,131963.56164383562,46858.089059741396
2015.0,SR2,T,162,91007.72222222222,61019.74208791083
2015.0,SR3,D,61,225113.11475409835,73997.96444364722
2015.0,SR3,F,16,68125.0,26423.789786226098
2015.0,SR3,O,1,195e3,NA
2015.0,SR3,S,272,129363.16911764706,50021.07648712394
2015.0,SR3,T,74,96284.54054054055,33769.58172155851
2015.0,SR4,D,44,168843.06818181818,38567.942212803195
2015.0,SR4,F,9,61722.22222222222,22869.003464174923
2015.0,SR4,O,4,282502.5,488011.2755101054
2015.0,SR4,S,191,117687.29842931937,44191.874072169325
2015.0,SR4,T,263,86159.53612167301,34537.410094724415
2015.0,SR5,D,35,205696.2857142857,56251.87765941758
2015.0,SR5,F,18,58440.833333333336,43368.831693971195
2015.0,SR5,O,9,3810902.6666666665,7428058.7419104325
2015.0,SR5,S,152,104910.54605263157,45659.31322418052
2015.0,SR5,T,118,73553.7627118644,26406.34669653761
2015.0,SR6,D,80,384246.875,137274.4672558008
2015.0,SR6,F,55,116796.36363636363,52516.24603532794
2015.0,SR6,O,10,350941.7,369605.11313594313
2015.0,SR6,S,201,174066.91044776118,61463.66195657348
2015.0,SR6,T,201,134445.46766169154,60551.806013695394
2015.0,SR7,D,76,215016.44736842104,77561.48029709846
2015.0,SR7,F,16,71887.5,27835.90307498573
2015.0,SR7,O,6,8447267.5,18631936.35528679
2015.0,SR7,S,115,107749.08695652174,51837.250579327134
2015.0,SR7,T,197,76840.45685279187,41653.95560624901
2015.0,SR8,D,92,188584.77173913043,68514.49480606089
2015.0,SR8,F,6,37666.666666666664,17603.030042202015
2015.0,SR8,O,15,1107426.3333333333,1704472.2918299236
2015.0,SR8,S,141,85436.17021276595,37975.784157418275
2015.0,SR8,T,251,55755.828685258966,26559.636937249983
2015.0,SS0,D,99,457641.31313131313,234294.56370654824
2015.0,SS0,F,537,153126.78212290502,67300.36473431789
2015.0,SS0,O,14,1969678.642857143,5777404.308059614
2015.0,SS0,S,165,285140.85454545455,118589.93454260858
2015.0,SS0,T,216,222000.40740740742,69177.78322648769
2015.0,SS1,D,103,483184.32038834953,168815.91902774054
2015.0,SS1,F,297,145529.0909090909,57847.29004942802
2015.0,SS1,O,16,1358024.8125,1796987.52887749
2015.0,SS1,S,104,327133.57692307694,113717.03153571588
2015.0,SS1,T,106,238914.95283018867,102081.35193605634
2015.0,SS11,D,92,359207.82608695654,95216.4774164419
2015.0,SS11,F,47,142146.48936170212,34577.954303581006
2015.0,SS11,O,5,210200.0,83142.64850243827
2015.0,SS11,S,168,262627.3214285714,34800.08619772542
2015.0,SS11,T,56,235373.8392857143,45987.43430142898
2015.0,SS12,D,87,349766.8965517241,105777.83350857705
2015.0,SS12,F,113,169833.203539823,22231.660869997067
2015.0,SS12,O,1,625e4,NA
2015.0,SS12,S,111,256752.65765765766,43047.359172616874
2015.0,SS12,T,102,220114.75490196078,34309.43561134511
2015.0,SS13,D,34,296090.73529411765,92126.7917726529
2015.0,SS13,F,66,121384.54545454546,26029.728665616065
2015.0,SS13,O,15,470920.3333333333,474704.45402702433
2015.0,SS13,S,57,223256.73684210525,48776.8463605012
2015.0,SS13,T,144,185331.73611111112,31123.55531693382
2015.0,SS14,D,6,347666.6666666667,79187.5411075926
2015.0,SS14,F,102,148713.03921568627,32306.84513616135
2015.0,SS14,O,14,815104.7857142857,1876816.1133310595
2015.0,SS14,S,38,232631.44736842104,40113.37596060215
2015.0,SS14,T,316,207059.2658227848,41379.29405758048
2015.0,SS15,D,118,355456.5677966102,111466.55570572308
2015.0,SS15,F,178,140981.34831460673,30692.405198555913
2015.0,SS15,O,5,259400.0,158805.85631518756
2015.0,SS15,S,94,268397.55319148937,38760.25352892023
2015.0,SS15,T,277,222696.31046931408,50881.09431999634
2015.0,SS16,D,104,400554.66346153844,119262.44390969367
2015.0,SS16,F,301,149170.48172757475,29057.4676864743
2015.0,SS16,O,1,4238438.0,NA
2015.0,SS16,S,61,255262.131147541,54019.62738563193
2015.0,SS16,T,198,206959.19191919192,38915.8626897418
2015.0,SS17,D,48,407379.7916666667,167554.4337716893
2015.0,SS17,F,67,149381.26865671642,35312.26303587195
2015.0,SS17,O,1,235e3,NA
2015.0,SS17,S,226,260650.54867256636,45134.12000338372
2015.0,SS17,T,174,222436.1724137931,38684.91046181069
2015.0,SS2,D,58,303494.0517241379,79398.11286069325
2015.0,SS2,F,193,134422.9274611399,46299.69746689455
2015.0,SS2,O,24,1107968.5416666667,2331940.6505072117
2015.0,SS2,S,206,233487.20873786407,47074.21159631622
2015.0,SS2,T,195,204443.14871794873,38459.50832742207
2015.0,SS3,D,94,391304.6170212766,136632.6084826623
2015.0,SS3,F,70,144086.4714285714,71158.19152815187
