year,outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
2015.0,CM9,D,202,432082.48514851485,267680.3126991202,223025.0,245250.0,276500.0,301e3,317625.0,379975.0,450750.0
2015.0,CM9,F,47,148200.74468085106,45205.424489078105,91200.0,94600.0,104300.0,111e3,116e3,139e3,179997.5
2015.0,CM9,O,19,1123536.8421052631,1131843.9395814477,38970.0,123999.99999999997,146750.0,155e3,242500.0,72e4,205e4
2015.0,CM9,S,139,255703.1654676259,58076.84503031585,178850.0,189600.0,199250.0,209600.0,222e3,249e3,285e3
2015.0,CM9,T,150,208358.78666666665,48671.63344049862,145647.09999999998,155e3,163350.0,169920.0,176062.5,201250.0,232e3
2015.0,CO1,D,29,259369.5172413793,88111.92406399158,177e3,191100.0,196e3,207200.0,22e4,245995.0,29e4
2015.0,CO1,F,172,126606.42441860466,31787.394415387367,81097.75,93550.0,101975.0,107100.0,113937.5,124250.0,14e4
2015.0,CO1,O,17,1986665.8235294118,2587312.3592893705,143520.0,186e3,236e3,285e3,325e3,562e3,3e6
2015.0,CO1,S,80,216264.125,78140.4267109315,145475.0,149450.0,155e3,164200.0,169500.0,2e5,235e3
2015.0,CO1,T,221,180090.74660633484,69720.73305023959,11e4,122e3,125842.0,128e3,140474.0,168e3,193e3
2015.0,CO10,D,344,365296.4534883721,162839.08649923257,210300.0,23e4,24e4,25e4,265e3,325e3,425e3
2015.0,CO10,F,62,111012.01612903226,42369.72580901231,50225.0,65600.0,82075.0,85e3,85250.0,108997.5,127375.0
2015.0,CO10,O,16,613281.6875,874997.1357089666,80130.25,103503.5,109500.0,12e4,169500.0,437500.0,786e3
2015.0,CO10,S,202,233695.81188118813,80346.23375752695,151150.0,162e3,169995.0,175e3,184250.0,215e3,25e4
2015.0,CO10,T,323,198594.1238390093,89884.97215266433,125e3,135e3,142300.0,149e3,152750.0,172e3,22e4
2015.0,CO11,D,93,326059.03225806454,139384.68102321934,174600.0,186e3,21e4,225e3,242500.0,297e3,385e3
2015.0,CO11,F,28,165607.14285714287,52199.82211245005,105250.0,116400.0,120150.0,123400.0,127e3,149750.0,19e4
2015.0,CO11,O,2,477500.0,173241.16139070413,367250.0,379500.0,391750.0,404e3,416250.0,477500.0,538750.0
2015.0,CO11,S,60,219544.16666666666,59959.56624292365,137225.0,159e3,165100.0,169800.0,18e4,208e3,258750.0
2015.0,CO11,T,57,205903.33333333334,90784.62419145287,113996.0,123e3,132e3,141500.0,153e3,169995.0,245e3
2015.0,CO12,D,113,245444.55752212388,82253.6842546471,155e3,169996.0,174800.0,19e4,2e5,235e3,275e3
2015.0,CO12,F,44,99903.86363636363,36264.94054361781,58300.0,60600.0,63471.0,69400.0,74500.0,94e3,119437.5
2015.0,CO12,O,2,312500.0,215667.568261897,175250.00000000003,190500.00000000006,205749.99999999994,221e3,236250.0,312500.0,388750.0
2015.0,CO12,S,123,160736.65040650408,32651.755139977464,12e4,125e3,132675.0,137400.0,144e3,159995.0,175e3
2015.0,CO12,T,163,128947.51533742332,37004.061632150566,84100.0,90200.0,95600.0,103400.0,11e4,125e3,143250.0
2015.0,CO13,D,214,315350.46261682245,137585.08290715612,181946.75,195e3,202900.0,212800.0,224250.0,28e4,35e4
2015.0,CO13,F,67,193939.55223880598,102735.9558850486,85e3,97800.0,11e4,118e3,123250.0,17e4,23e4
2015.0,CO13,O,2,1052118.0,1173964.133970029,305011.8000000001,388023.60000000015,471035.3999999999,554047.2,637059.0,1052118.0,1467177.0
2015.0,CO13,S,69,193459.4927536232,51036.91923604485,138800.0,144500.0,150200.0,158e3,161e3,187e3,204e3
2015.0,CO13,T,20,173112.0,36122.57762411932,128350.00000000001,143500.0,146700.0,155800.0,160250.0,168497.5,183998.75
2015.0,CO14,D,67,221906.5671641791,68453.17440239245,155600.0,167520.0,172500.0,180500.0,185e3,204e3,232500.0
2015.0,CO14,F,32,113826.40625,35408.45908213986,61200.0,63400.0,70575.0,83700.0,89625.0,117500.0,14e4
2015.0,CO14,O,2,118500.0,71417.7848998413,73050.0,78100.0,83150.0,88200.0,93250.0,118500.0,143750.0
2015.0,CO14,S,45,176109.77777777778,19447.382534662473,145990.0,152e3,156800.0,159999.0,164995.0,175e3,187500.0
2015.0,CO14,T,20,156549.75,45814.164394264975,107850.0,123300.0,125e3,125e3,129500.0,140500.0,163750.0
2015.0,CO15,D,493,194872.58215010143,76697.5848173121,56200.0,81300.0,119496.0,142600.00000000003,155e3,195e3,24e4
2015.0,CO15,F,211,98201.29857819906,36264.19534341918,47250.0,55e3,6e4,64500.0,73250.0,95e3,122e3
