outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
CT11,S,291,221445.7147766323,71944.12303105807,137500.0,157500.0,165e3,172e3,175e3,21e4,247500.0
CT11,T,615,188028.39349593496,70994.15518687665,116400.0,125380.0,132e3,138e3,145750.0,17e4,212250.0
CT12,D,136,290724.47794117645,110867.83842214796,164250.0,179500.0,2e5,206350.0,211875.0,275e3,335e3
CT12,F,40,109422.25,27341.42309029587,66300.0,69900.0,78825.0,84e3,89375.0,11e4,127250.0
CT12,O,47,152474.97872340426,201491.60385306916,37500.00000000001,72545.6,96e3,99e3,101e3,12e4,136680.0
CT12,S,267,193097.6329588015,48578.772141332556,135e3,142e3,147450.0,153e3,16e4,181e3,22e4
CT12,T,160,170704.06875,39617.58147814719,12e4,126800.0,135e3,142200.0,146e3,162497.5,189625.0
CT13,D,92,409555.8152173913,170302.31574131802,225450.0,245355.0,265e3,280196.0,287875.0,360750.0,488500.0
CT13,F,35,203498.57142857142,115626.02653643789,93950.0,104400.0,115500.0,122800.0,131500.0,174e3,228475.0
CT13,O,5,413e3,358287.5939800316,48999.99999999999,82999.99999999999,117000.00000000001,151e3,185e3,305e3,675e3
CT13,S,98,262707.44897959183,144182.52196728936,167100.0,175e3,181100.0,188100.0,193875.0,22e4,279125.0
CT13,T,109,301527.06422018347,160034.87474843048,153200.0,169990.0,18e4,191200.0,195e3,255e3,37e4
CT14,D,374,365216.12032085564,141476.05872899303,211300.0,23e4,245e3,255e3,265e3,335e3,415750.0
CT14,F,286,163679.2972027972,73738.19488994253,86212.5,95750.0,102875.0,108e3,113850.0,141e3,190750.0
CT14,O,37,577555.7297297297,793309.0857928107,54e3,65900.0,74900.0,1e5,1e5,3e5,6e5
CT14,S,533,229093.3114446529,73890.49287158047,15e4,162960.0,171900.0,18e4,183125.0,218e3,25e4
CT14,T,641,226212.9219968799,91790.29434913126,135e3,149950.0,16e4,165e3,17e4,195e3,25e4
CT15,D,217,409381.54377880186,191840.89255436335,228960.0,25e4,268200.0,28e4,295e3,365e3,46e4
CT15,F,34,220411.76470588235,126160.94042016545,113250.0,117e3,119850.0,123700.0,128e3,164e3,304e3
CT15,O,8,287293.75,190534.8045399355,89687.5,102375.0,113337.5,113950.0,114562.5,277500.0,403575.0
CT15,S,154,230890.1948051948,79183.75907307125,146950.0,155950.0,167950.0,176200.0,182e3,216750.0,25e4
CT15,T,53,192234.71698113208,75138.93831669881,125e3,13e4,135e3,142300.0,146e3,172500.0,23e4
CT16,D,175,302864.5485714286,138729.08594512043,2e5,225e3,230200.0,24e4,245e3,284995.0,327500.0
CT16,F,170,113800.41176470589,47310.97975576861,62125.0,72450.0,75e3,79900.0,83250.0,105e3,124750.0
CT16,O,15,485164.5333333333,559805.7927809642,66200.00000000001,101200.00000000001,119e3,147e3,162500.0,23e4,672500.0
CT16,S,201,212125.47263681592,59499.794097547056,125e3,142e3,16e4,165e3,174e3,215e3,241e3
CT16,T,310,155591.28064516129,49651.749883371216,104112.5,114900.0,12e4,123400.0,125e3,147e3,169500.0
CT17,D,93,255710.96774193548,67362.57802426386,159600.0,178e3,188400.0,195800.0,2e5,248e3,293500.0
CT17,F,134,102979.40298507463,45248.220228550636,25e3,48250.0,57799.99999999999,65e3,72625.0,97500.0,14e4
CT17,O,17,340976.4705882353,522641.4252733558,7880.0,12840.0,25e3,44e3,6e4,24e4,38e4
CT17,S,164,185599.15853658537,48210.791018581,112450.0,127500.0,135225.0,144304.0,15e4,178500.0,215e3
CT17,T,495,132795.33333333334,35130.86078066235,86700.0,95200.0,102e3,107500.0,11e4,127e3,147750.0
CT18,D,250,332944.66,98024.23045968416,22e4,234750.0,243050.0,256000.00000000006,266625.0,315e3,375e3
CT18,F,65,114760.69230769231,40028.54017835396,43e3,43e3,78500.0,80400.0,80500.0,107500.0,145995.0
CT18,O,9,1431922.2222222222,3107623.755290277,221500.0,280500.0,32e4,34e4,36e4,415e3,46e4
CT18,S,148,240499.3581081081,50995.28307278631,179996.75,185e3,193025.0,203800.0,21e4,23e4,266248.75
CT18,T,115,212793.91304347827,51804.97241164519,148500.0,164400.0,172200.0,175e3,177e3,204e3,232e3
CT19,D,63,320392.65079365077,117664.28930965868,2e5,215e3,220600.0,227300.0,236500.0,3e5,363e3
CT19,F,155,126476.41935483871,37529.567788104905,77190.0,84400.0,95e3,1e5,105e3,124500.0,14e4
CT19,O,17,468413.64705882355,657991.1390889831,42700.0,59e3,81e3,109e3,125e3,195260.0,411774.0
CT19,S,232,240182.9698275862,71018.91019456855,144e3,165e3,175e3,184880.0,187375.0,23e4,276996.25
CT19,T,532,179147.13345864663,48571.76407776666,115550.0,126100.0,135e3,14e4,145e3,17e4,205250.0
CT2,D,166,436730.3614457831,158625.53601466978,241250.0,260500.0,288750.0,325e3,333125.0,397500.0,511500.0
CT2,F,127,187926.76377952757,61448.12561433577,102900.0,12e4,125900.0,130400.00000000001,136500.0,182500.0,236750.0
CT2,O,11,346145.45454545453,266201.30865056376,26200.0,5e4,11e4,17e4,2e5,34e4,410100.0
CT2,S,276,265999.3695652174,76468.80530803045,180375.0,191e3,203250.0,21e4,218e3,245e3,298500.0
CT2,T,251,266856.20717131475,91609.21315713236,169e3,182500.0,198e3,205e3,212750.0,245e3,299300.0
CT20,D,103,464221.4368932039,191969.12483218926,225499.5,240500.0,252650.0,270800.0,295500.0,445e3,61e4
CT20,F,697,148705.25968436155,73119.01148747272,60188.8,74770.0,84152.79999999999,9e4,1e5,133e3,179e3
CT20,O,34,483816.17647058825,604274.6318647182,104550.0,117300.0,125e3,137600.0,145e3,225e3,483e3
CT20,S,153,259862.5816993464,94088.1725642589,150600.0,167400.0,179200.0,191200.0,196e3,232995.0,327500.0
CT20,T,236,187671.3220338983,64897.20820764879,114625.0,124500.0,135e3,14e4,145e3,172250.0,215e3
CT21,D,264,455193.9393939394,205021.16092269006,225650.0,255e3,272137.5,295e3,335e3,415e3,538750.0
CT21,F,177,264089.57627118647,158822.636316413,91800.00000000001,113e3,128e3,142600.0,15e4,206e3,343e3
CT21,O,15,2676803.066666667,7000240.8044299,533.9000000000001,710.8000000000001,1079.9,2584.2000000000007,10007.0,257e3,808750.0
CT21,S,203,305510.8275862069,110425.6700330693,18e4,19e4,2e5,210400.0,22e4,275e3,381e3
CT21,T,228,233618.92105263157,73525.59148529485,148437.5,162350.0,169525.0,178e3,18e4,222500.0,265e3
CT3,D,231,413695.14718614717,213499.8175904016,206247.5,216995.0,230497.5,242500.0,255e3,35e4,517500.0
CT3,F,32,134864.0625,31491.233379115263,91650.0,108e3,109300.0,111500.0,117875.0,128e3,144500.0
CT3,O,28,592655.9285714285,816753.4210875501,13500.0,34e3,83e3,93500.0,106250.0,282500.0,775e3
CT3,S,224,234422.4419642857,82705.85965357581,15e4,164950.0,169702.5,177500.0,184995.0,215e3,258488.75
CT3,T,233,202942.4635193133,67932.2885477587,137200.0,145e3,152900.0,16e4,165e3,185e3,215e3
CT4,D,208,485245.6778846154,203647.0618148547,27e4,288950.0,305375.0,326200.0,345e3,435e3,567500.0
CT4,F,54,162358.25925925927,49842.93176784984,96950.0,105706.8,11e4,115e3,123750.0,162e3,180750.0
CT4,O,17,444438.23529411765,434266.2912637144,7500.0,25800.000000000004,56200.0,86600.0,93e3,39e4,765e3
CT4,S,127,298433.23622047243,99683.11274507298,195e3,205e3,217250.0,23e4,236750.0,285e3,319e3
CT4,T,129,257524.12403100776,99082.78399903851,150400.0,179e3,185e3,192300.0,205e3,248e3,286e3
CT5,D,529,432979.786389414,187857.56248552148,249398.0,273e3,289190.0,3e5,318e3,385e3,505e3
